team,r32_probability,r16_probability,quarterfinal_probability,semifinal_probability,final_probability,champion_probability
Spain,0.964,0.745,0.495,0.302,0.137,0.137
Argentina,0.971,0.704,0.49,0.295,0.129,0.129
France,0.925,0.593,0.365,0.239,0.083,0.083
England,0.96,0.565,0.297,0.169,0.058,0.058
Brazil,0.896,0.569,0.37,0.195,0.053,0.053
Portugal,0.896,0.521,0.259,0.158,0.048,0.048
Germany,0.987,0.613,0.331,0.183,0.046,0.046
Ecuador,0.954,0.565,0.317,0.174,0.046,0.046
Colombia,0.892,0.552,0.279,0.151,0.046,0.046
Mexico,0.936,0.598,0.314,0.154,0.041,0.041
Japan,0.872,0.427,0.217,0.112,0.03,0.03
Netherlands,0.933,0.488,0.235,0.109,0.027,0.027
Morocco,0.857,0.483,0.296,0.138,0.025,0.025
Uruguay,0.876,0.49,0.257,0.122,0.022,0.022
Croatia,0.86,0.426,0.197,0.095,0.022,0.022
Switzerland,0.935,0.524,0.244,0.12,0.021,0.021
Turkey,0.807,0.459,0.266,0.133,0.02,0.02
Belgium,0.884,0.41,0.18,0.087,0.015,0.015
Senegal,0.712,0.329,0.157,0.074,0.015,0.015
Canada,0.918,0.459,0.188,0.064,0.011,0.011
South Korea,0.832,0.432,0.195,0.092,0.01,0.01
Australia,0.733,0.338,0.17,0.082,0.01,0.01
Iran,0.816,0.368,0.168,0.076,0.01,0.01
Norway,0.693,0.302,0.153,0.073,0.01,0.01
Paraguay,0.757,0.361,0.195,0.089,0.009,0.009
Algeria,0.72,0.317,0.135,0.061,0.008,0.008
Austria,0.721,0.297,0.127,0.05,0.007,0.007
Panama,0.682,0.273,0.117,0.05,0.007,0.007
Scotland,0.567,0.25,0.122,0.047,0.006,0.006
Uzbekistan,0.514,0.204,0.075,0.033,0.006,0.006
Ivory Coast,0.81,0.335,0.121,0.046,0.005,0.005
Egypt,0.624,0.245,0.09,0.037,0.004,0.004
Sweden,0.528,0.17,0.064,0.022,0.002,0.002
United States,0.387,0.158,0.07,0.021,0.002,0.002
Tunisia,0.295,0.088,0.035,0.018,0.002,0.002
Iraq,0.339,0.126,0.043,0.018,0.001,0.001
DR Congo,0.317,0.108,0.04,0.015,0.001,0.001
Saudi Arabia,0.4,0.147,0.045,0.012,0.001,0.001
Jordan,0.237,0.078,0.031,0.01,0.001,0.001
Cape Verde,0.354,0.103,0.024,0.007,0.001,0.001
Ghana,0.184,0.04,0.013,0.006,0.001,0.001
South Africa,0.286,0.084,0.021,0.003,0.001,0.001
Czech Republic,0.609,0.233,0.073,0.021,0.0,0.0
Bosnia and Herzegovina,0.592,0.149,0.041,0.013,0.0,0.0
Haiti,0.357,0.109,0.037,0.011,0.0,0.0
New Zealand,0.353,0.103,0.031,0.008,0.0,0.0
Qatar,0.231,0.057,0.009,0.005,0.0,0.0
Curacao,0.027,0.005,0.001,0.0,0.0,0.0
